from,to,count,status,reason
sturmzeichen,turmzeichen,51,not_found,"No user has ""turmzeichen"" as username"
comitedu9mai,mitedu9mai,37,not_found,"No user has ""mitedu9mai"" as username"
comitedu9mai,itedu9mai,32,not_found,"No user has ""itedu9mai"" as username"
activeclubuncensored,whitelads,23,flood_wait_exceeded,flood wait 74319s exceeds maxWait=3600s
comitedu9mai,omitedu9mai,23,not_found,"No user has ""omitedu9mai"" as username"
clauscremernrw,lauscremernrw,19,not_found,"No user has ""lauscremernrw"" as username"
dortmundsrechte,ortmundsrechte,18,not_found,"No user has ""ortmundsrechte"" as username"
freiesth,afd_thl,11,flood_wait_exceeded,flood wait 73974s exceeds maxWait=3600s
irmhild_bossdorf,lukreta,10,flood_wait_exceeded,flood wait 74460s exceeds maxWait=3600s
mr_marcus_fuchs,arcus_fuchs,8,not_found,"No user has ""arcus_fuchs"" as username"
frontmagazin,frontmusik,7,flood_wait_exceeded,flood wait 74566s exceeds maxWait=3600s
inczebelalegionarius,legiohungaria,7,flood_wait_exceeded,flood wait 73690s exceeds maxWait=3600s
inczebelalegionarius,nzona3,7,flood_wait_exceeded,flood wait 73759s exceeds maxWait=3600s
kdn2013,dn2013,7,invalid_username,username invalid
rediceuncensored,middle_east_spectator,7,flood_wait_exceeded,flood wait 74354s exceeds maxWait=3600s
gefangenenhilfe,turmzeichen,6,not_found,"No user has ""turmzeichen"" as username"
miesenews,turmzeichen,6,not_found,"No user has ""turmzeichen"" as username"
activeclubuncensored,legiohungaria,5,flood_wait_exceeded,flood wait 73690s exceeds maxWait=3600s
dortmundsrechte,mundsrechte,5,flood_wait_exceeded,flood wait 74550s exceeds maxWait=3600s
flakdieband,eimat2023,5,flood_wait_exceeded,flood wait 74245s exceeds maxWait=3600s
natsquads,legiohungaria,5,flood_wait_exceeded,flood wait 73690s exceeds maxWait=3600s
qd351,arcus_fuchs,5,not_found,"No user has ""arcus_fuchs"" as username"
stimme_der_wahrheit,frankrennicke,5,flood_wait_exceeded,flood wait 73955s exceeds maxWait=3600s
wolfpmsoffiziell,ibsachsen,5,flood_wait_exceeded,flood wait 74047s exceeds maxWait=3600s
flakdieband,frankrennicke,4,flood_wait_exceeded,flood wait 73955s exceeds maxWait=3600s
flakdieband,imbolcslicht,4,flood_wait_exceeded,flood wait 73777s exceeds maxWait=3600s
harzverteidigen,ortmundsrechte,4,not_found,"No user has ""ortmundsrechte"" as username"
blklgnwear,dn2013,3,invalid_username,username invalid
dortmundsrechte,ndsrechte,3,not_found,"No user has ""ndsrechte"" as username"
flakdieband,imatnrw,3,not_found,"No user has ""imatnrw"" as username"
jn_aktioneuropa,ungenationalisten,3,not_found,"No user has ""ungenationalisten"" as username"
jn_westverband,ungenationalisten,3,not_found,"No user has ""ungenationalisten"" as username"
jungeuropa,hydracomicsdd,3,flood_wait_exceeded,flood wait 74175s exceeds maxWait=3600s
michaelbrueck90,ichaelbrueck90,3,flood_wait_exceeded,flood wait 73868s exceeds maxWait=3600s
miesenews,blutzeugen1894,3,flood_wait_exceeded,flood wait 74083s exceeds maxWait=3600s
miesenews,mundsrechte,3,flood_wait_exceeded,flood wait 74550s exceeds maxWait=3600s
miesenews,oposrecords,3,flood_wait_exceeded,flood wait 74157s exceeds maxWait=3600s
natsquads,nzona3,3,flood_wait_exceeded,flood wait 73759s exceeds maxWait=3600s
natsquads,whitelads,3,flood_wait_exceeded,flood wait 74319s exceeds maxWait=3600s
clauscremernrw,legiohungaria,2,flood_wait_exceeded,flood wait 73690s exceeds maxWait=3600s
clauscremernrw,mundsrechte,2,flood_wait_exceeded,flood wait 74550s exceeds maxWait=3600s
clauscremernrw,ungenationalisten,2,not_found,"No user has ""ungenationalisten"" as username"
dortmundsrechte,dn2013,2,invalid_username,username invalid
dortmundsrechte,lauscremernrw,2,not_found,"No user has ""lauscremernrw"" as username"
finleydresden,ichaelbrueck90,2,flood_wait_exceeded,flood wait 73868s exceeds maxWait=3600s
flakdieband,blutzeugen1894,2,flood_wait_exceeded,flood wait 74083s exceeds maxWait=3600s
flakdieband,frontmusik,2,flood_wait_exceeded,flood wait 74566s exceeds maxWait=3600s
flakdieband,ichaelbrueck90,2,flood_wait_exceeded,flood wait 73868s exceeds maxWait=3600s
flakdieband,infrarotmediensicht,2,flood_wait_exceeded,flood wait 74369s exceeds maxWait=3600s
flakdieband,intelslava,2,flood_wait_exceeded,flood wait 74407s exceeds maxWait=3600s
flakdieband,rebelrecordscb,2,flood_wait_exceeded,flood wait 74261s exceeds maxWait=3600s
freiesachsen_dresden,snicklink3000,2,flood_wait_exceeded,flood wait 74065s exceeds maxWait=3600s
frontmagazin,oposrecords,2,flood_wait_exceeded,flood wait 74157s exceeds maxWait=3600s
hartungstefan,ichaelbrueck90,2,flood_wait_exceeded,flood wait 73868s exceeds maxWait=3600s
harzverteidigen,dn2013,2,invalid_username,username invalid
harzverteidigen,mundsrechte,2,flood_wait_exceeded,flood wait 74550s exceeds maxWait=3600s
heimat2023,ichaelbrueck90,2,flood_wait_exceeded,flood wait 73868s exceeds maxWait=3600s
heimatnrw,matnrw,2,not_found,"No user has ""matnrw"" as username"
heimatnrw,ungenationalisten,2,not_found,"No user has ""ungenationalisten"" as username"
